,Unnamed: 0.1,Unnamed: 0,id,author,title,location,city,price,no_of_bedrooms,no_of_bathrooms,no_of_floor,parking_area,facing_side,built_date,area1,area2,area3,area_formating,road_width,purpose,property_type,latitude,longitude
2038,2038,2038,2039,1,"House For Sale In Lubhu, Lalitpur","Near, Sarbotchrit School, Lubhu, Lalitpur",Lalitpur,14500000.0,4,3,2.0,1,South East,01/01/2073,0.0,5.0,0.0,HM,13 Feet,SL,H,85.3714959,27.6434777
2039,2039,2039,2040,1,"House For Sale In Sunderbasti, Kathmandu","Budanilkantha, Sunderbasti, Kathmandu",Kathmandu,27500000.0,6,4,3.0,1,South East,01/01/2073,0.0,5.0,0.0,HM,13 Feet,SL,H,85.33218,27.70704
2040,2040,2040,2041,1,"Land For Sale In Sitapaila, Kathmandu","Near, Padma Colony, Sitapaila, Kathmandu",Kathmandu,2600000.0,0,0,0.0,0,East,01/01/2073,0.0,4.0,0.0,HM,13 Feet,RT,L,85.27345,27.7182
2041,2041,2041,2042,1,"Lamas Residence : House For Rent In Lubhu, Lalitpur","Lubhu Lalitpur, Lubhu, Lalitpur",Lalitpur,60000.0,6,2,2.0,0,East,01/01/2073,0.0,16.0,0.0,HM,18 Feet,RT,H,85.3739297,27.6439889
2042,2042,2042,2043,1,"Apartment For Rent In Bishal Nagar, Kathmandu","Central Park Apartment, Bishal Nagar, Kathmandu",Kathmandu,120000.0,3,2,10.0,0,East,01/01/2073,0.0,0.0,0.0,HM,20 Feet,RT,H,85.3382747,27.6774882
2043,2043,2043,2044,1,"Apartment For Rent In Swayambhu, Kathmandu","Bijeshwari, Swayambhu, Kathmandu",Kathmandu,150000.0,2,2,4.0,0,South East,01/01/2073,0.0,0.0,0.0,HM,15 Feet,RT,H,85.2975626,27.7121657
2044,2044,2044,2045,1,"Apartment For Sale In Kamalpokhari, Kathmandu","Kamalpokhari, Kamalpokhari, Kathmandu",Kathmandu,55000000.0,2,3,0.0,0,North East,01/01/2073,0.0,0.0,0.0,HM,20 Feet,SL,H,85.3222889,27.7113693
2045,2045,2045,2046,1,"Apartment For Rent In Jhamsikhel, Lalitpur","Jhamsikhel, Jhamsikhel, Lalitpur",Lalitpur,40000.0,2,1,0.0,0,East,01/01/2073,0.0,0.0,0.0,HM,15 Feet,RT,H,85.3021862,27.6827881
2046,2046,2046,2047,1,"Apartment For Sale In Dhobighat, Lalitpur","Bazra and Sangrila Residency, Dhobighat, Lalitpur",Lalitpur,16500000.0,3,2,10.0,0,East,01/01/2073,0.0,0.0,0.0,HM,20 Feet,SL,H,78.418796,24.692493
2047,2047,2047,2048,1,"Best For Commercial Use : House For Sale In Kamalpokhari, Kathmandu","Naxal, kathmandu, Kamalpokhari, Kathmandu",Kathmandu,30000000.0,0,3,5.0,0,West,01/01/2073,1.0,3.0,0.0,HM,32 Feet,SL,H,85.3287033,27.7126782
2048,2048,2048,2049,1,"Newly Built : House For Rent In Baneshwor, Kathmandu","Mid- Baneshwor, Baneshwor, Kathmandu",Kathmandu,125000.0,5,2,2.0,5,East,01/01/2076,0.0,10.0,0.0,HM,13 Feet,RT,H,85.331851,27.691329
2049,2049,2049,2050,1,"House For Rent In Bhaisepati, Lalitpur","Near, Radio Tower, Bhaisepati, Lalitpur",Lalitpur,250000.0,5,3,3.0,2,East,01/01/2075,0.0,13.0,0.0,HM,20 Feet,RT,H,78.418796,24.692493
2050,2050,2050,2051,1,"House For Sale In Maligaon, Kathmandu","Maligaon, Maligaon, Kathmandu",Kathmandu,65000000.0,5,6,3.0,0,North West,01/01/2075,0.0,12.0,0.0,HM,13 Feet,SL,H,0.0,0.0
